ProductoID,NombreProducto,Categoria,SubCategoria,CostoBase,PrecioUnitario
P-0106,Teléfonos Modelo P37,Electrónica,Teléfonos,369.30,794.31
P-0107,Camisas Modelo P79,Ropa,Camisas,259.90,52.88
P-0108,Calzado Modelo I93,Deportes,Calzado,41.37,639.26
P-0109,Audio Modelo G14,Electrónica,Audio,310.71,501.08
P-0110,Snacks Modelo B72,Alimentos,Snacks,216.47,536.34
P-0111,Pantalones Modelo L38,Ropa,Pantalones,297.47,138.19
P-0112,Equipamiento Modelo T52,Deportes,Equipamiento,215.18,434.74
P-0113,Ropa Deportiva Modelo K84,Deportes,Ropa Deportiva,496.16,191.14
P-0114,Decoración Modelo B30,Hogar,Decoración,30.24,109.83
P-0115,Congelados Modelo V75,Alimentos,Congelados,342.91,154.21
P-0116,TV Modelo W23,Electrónica,TV,295.04,843.61
P-0117,Cocina Modelo X18,Hogar,Cocina,343.50,347.03
P-0118,Cocina Modelo M10,Hogar,Cocina,436.66,456.92
P-0119,Pantalones Modelo V11,Ropa,Pantalones,350.68,431.18
P-0120,Snacks Modelo X92,Alimentos,Snacks,354.23,93.03
P-0121,Decoración Modelo Z95,Hogar,Decoración,276.54,791.35
P-0122,Bebidas Modelo B10,Alimentos,Bebidas,253.87,784.10
P-0123,Cocina Modelo G68,Hogar,Cocina,89.48,423.72
P-0124,Pantalones Modelo B59,Ropa,Pantalones,245.04,300.81
P-0125,Accesorios Modelo A80,Ropa,Accesorios,138.61,362.52
P-0126,Camisas Modelo B20,Ropa,Camisas,479.18,349.70
P-0127,Decoración Modelo J83,Hogar,Decoración,298.18,241.26
P-0128,Ropa Deportiva Modelo Y41,Deportes,Ropa Deportiva,378.43,642.57
P-0129,Camisas Modelo Y25,Ropa,Camisas,497.01,522.69
P-0130,Teléfonos Modelo W48,Electrónica,Teléfonos,115.97,139.47
P-0131,Snacks Modelo L86,Alimentos,Snacks,200.21,444.99
P-0132,Congelados Modelo X85,Alimentos,Congelados,330.42,520.27
P-0133,Congelados Modelo L37,Alimentos,Congelados,136.46,364.39
P-0134,Cocina Modelo L80,Hogar,Cocina,410.33,103.31
P-0135,Audio Modelo H46,Electrónica,Audio,141.16,56.77
P-0136,Teléfonos Modelo X85,Electrónica,Teléfonos,442.71,362.08
P-0137,Equipamiento Modelo D99,Deportes,Equipamiento,371.05,510.97
P-0138,Bebidas Modelo J21,Alimentos,Bebidas,370.31,564.42
P-0139,Congelados Modelo A18,Alimentos,Congelados,444.68,165.65
P-0140,Cocina Modelo L68,Hogar,Cocina,412.50,227.19
P-0141,Congelados Modelo H62,Alimentos,Congelados,30.29,248.53
P-0142,TV Modelo E16,Electrónica,TV,13.82,518.66
P-0143,Ropa Deportiva Modelo H66,Deportes,Ropa Deportiva,216.88,601.55
P-0144,Equipamiento Modelo Z36,Deportes,Equipamiento,182.32,394.88
P-0145,Congelados Modelo R43,Alimentos,Congelados,261.28,548.09
P-0146,Bebidas Modelo G46,Alimentos,Bebidas,314.26,395.97
P-0147,Camisas Modelo T62,Ropa,Camisas,91.59,495.21
P-0148,Pantalones Modelo H68,Ropa,Pantalones,98.04,314.89
P-0149,Laptops Modelo C13,Electrónica,Laptops,55.09,444.25
P-0150,Calzado Modelo B72,Deportes,Calzado,290.66,795.09
P-0151,Bebidas Modelo G32,Alimentos,Bebidas,249.27,71.31
P-0152,Teléfonos Modelo Y36,Electrónica,Teléfonos,49.92,665.71
P-0153,Camisas Modelo O14,Ropa,Camisas,403.00,234.58
P-0154,Ropa Deportiva Modelo N93,Deportes,Ropa Deportiva,506.00,316.24
P-0155,Teléfonos Modelo A12,Electrónica,Teléfonos,269.14,452.98
P-0156,Equipamiento Modelo B70,Deportes,Equipamiento,37.94,132.08
P-0157,Equipamiento Modelo R30,Deportes,Equipamiento,418.79,349.73
P-0158,Calzado Modelo H69,Deportes,Calzado,220.15,841.94
P-0159,Decoración Modelo H78,Hogar,Decoración,392.70,429.43
P-0160,Decoración Modelo T10,Hogar,Decoración,29.44,192.15
P-0161,Cocina Modelo A93,Hogar,Cocina,159.62,564.70
P-0162,Accesorios Modelo N98,Ropa,Accesorios,288.92,270.66
P-0163,Congelados Modelo P69,Alimentos,Congelados,149.08,401.08
P-0164,Accesorios Modelo T14,Ropa,Accesorios,238.02,255.54
P-0165,Snacks Modelo R92,Alimentos,Snacks,468.99,117.74
P-0166,Laptops Modelo P50,Electrónica,Laptops,338.75,543.70
P-0167,Pantalones Modelo O30,Ropa,Pantalones,432.69,148.44
P-0168,Equipamiento Modelo K50,Deportes,Equipamiento,269.98,714.02
P-0169,Bebidas Modelo Z55,Alimentos,Bebidas,426.77,670.97
P-0170,Calzado Modelo M94,Deportes,Calzado,414.69,363.08
P-0171,Bebidas Modelo O20,Alimentos,Bebidas,382.74,733.17
P-0172,Snacks Modelo C47,Alimentos,Snacks,280.03,578.97
P-0173,Teléfonos Modelo N26,Electrónica,Teléfonos,10.22,463.76
P-0174,Camisas Modelo C71,Ropa,Camisas,155.32,563.29
P-0175,Congelados Modelo L23,Alimentos,Congelados,48.24,52.76
P-0176,Laptops Modelo B22,Electrónica,Laptops,223.59,356.61
P-0177,Laptops Modelo E89,Electrónica,Laptops,188.19,254.46
P-0178,TV Modelo V98,Electrónica,TV,462.30,220.82
P-0179,Pantalones Modelo X29,Ropa,Pantalones,162.30,77.95
P-0180,Accesorios Modelo P76,Ropa,Accesorios,409.88,449.28
P-0181,Pantalones Modelo V24,Ropa,Pantalones,110.52,448.57
P-0182,Accesorios Modelo J38,Ropa,Accesorios,121.59,417.62
P-0183,Teléfonos Modelo X48,Electrónica,Teléfonos,80.51,381.33
P-0184,Bebidas Modelo H14,Alimentos,Bebidas,157.90,663.06
P-0185,Calzado Modelo P13,Deportes,Calzado,67.41,541.49
P-0186,Teléfonos Modelo Z29,Electrónica,Teléfonos,54.72,313.41
P-0187,Muebles Modelo E62,Hogar,Muebles,449.73,389.42
P-0188,Muebles Modelo P82,Hogar,Muebles,11.33,628.65
P-0189,Calzado Modelo M99,Deportes,Calzado,178.98,641.43
P-0190,Audio Modelo D72,Electrónica,Audio,470.09,538.15
P-0191,Equipamiento Modelo G70,Deportes,Equipamiento,62.10,187.53
P-0192,Cocina Modelo D67,Hogar,Cocina,72.54,94.68
P-0193,Camisas Modelo E13,Ropa,Camisas,88.29,299.11
P-0194,Accesorios Modelo X94,Ropa,Accesorios,47.01,249.36
P-0195,Bebidas Modelo R32,Alimentos,Bebidas,64.17,419.81
P-0196,Pantalones Modelo Y72,Ropa,Pantalones,175.62,71.37
P-0197,Cocina Modelo T62,Hogar,Cocina,140.24,750.96
P-0198,Calzado Modelo X22,Deportes,Calzado,30.22,300.38
P-0199,Cocina Modelo B82,Hogar,Cocina,274.35,764.34
P-0200,Teléfonos Modelo O30,Electrónica,Teléfonos,328.09,746.15
