Id,Fecha,Producto,Categoria,Canal,Cantidad,PrecioUnitario,CostoUnitario
34,2022-01-10,Escritorio,Mobiliario,Online,4,400,250
35,2022-01-11,Teclado Mecánico,Accesorios,Tienda Física,1,100,50
36,2022-01-11,Silla Ergonómica,Mobiliario,Tienda Física,3,250,150
37,2022-01-11,Silla Ergonómica,Mobiliario,Tienda Física,4,250,150
38,2022-01-11,Escritorio,Mobiliario,Tienda Física,3,400,250
39,2022-01-11,Escritorio,Mobiliario,Tienda Física,4,400,250
40,2022-01-12,Mouse Inalámbrico,Accesorios,Online,2,50,20
41,2022-01-13,Teclado Mecánico,Accesorios,Tienda Física,2,100,50
42,2022-01-14,Teclado Mecánico,Accesorios,Online,3,100,50
43,2022-01-15,Teclado Mecánico,Accesorios,Mayorista,3,100,50
44,2022-01-15,Mouse Inalámbrico,Accesorios,Online,4,50,20
45,2022-01-15,Silla Ergonómica,Mobiliario,Mayorista,3,250,150
46,2022-01-16,Teclado Mecánico,Accesorios,Online,1,100,50
47,2022-01-16,Escritorio,Mobiliario,Online,1,400,250
48,2022-01-16,Escritorio,Mobiliario,Mayorista,2,400,250
49,2022-01-16,Laptop Pro,Electrónica,Mayorista,1,1200,900
50,2022-01-16,Escritorio,Mobiliario,Online,4,400,250
51,2022-01-17,Monitor 27",Electrónica,Online,2,300,200
52,2022-01-17,Laptop Pro,Electrónica,Tienda Física,4,1200,900
53,2022-01-17,Laptop Pro,Electrónica,Tienda Física,3,1200,900
54,2022-01-17,Mouse Inalámbrico,Accesorios,Mayorista,4,50,20
55,2022-01-18,Laptop Pro,Electrónica,Mayorista,1,1200,900
56,2022-01-18,Escritorio,Mobiliario,Mayorista,3,400,250
57,2022-01-18,Monitor 27",Electrónica,Mayorista,4,300,200
58,2022-01-19,Mouse Inalámbrico,Accesorios,Mayorista,1,50,20
59,2022-01-20,Teclado Mecánico,Accesorios,Mayorista,3,100,50
60,2022-01-20,Laptop Pro,Electrónica,Mayorista,4,1200,900
61,2022-01-21,Teclado Mecánico,Accesorios,Mayorista,3,100,50
62,2022-01-21,Silla Ergonómica,Mobiliario,Mayorista,1,250,150
63,2022-01-21,Monitor 27",Electrónica,Mayorista,4,300,200
64,2022-01-21,Monitor 27",Electrónica,Tienda Física,1,300,200
65,2022-01-22,Mouse Inalámbrico,Accesorios,Online,3,50,20
66,2022-01-22,Teclado Mecánico,Accesorios,Mayorista,1,100,50
67,2022-01-22,Escritorio,Mobiliario,Online,2,400,250
68,2022-01-22,Escritorio,Mobiliario,Online,3,400,250
69,2022-01-22,Monitor 27",Electrónica,Online,2,300,200
70,2022-01-23,Escritorio,Mobiliario,Mayorista,3,400,250
71,2022-01-24,Escritorio,Mobiliario,Mayorista,3,400,250
72,2022-01-24,Teclado Mecánico,Accesorios,Mayorista,2,100,50
73,2022-01-25,Laptop Pro,Electrónica,Online,2,1200,900
74,2022-01-25,Escritorio,Mobiliario,Mayorista,3,400,250
75,2022-01-25,Laptop Pro,Electrónica,Mayorista,3,1200,900
76,2022-01-25,Laptop Pro,Electrónica,Online,2,1200,900
77,2022-01-26,Mouse Inalámbrico,Accesorios,Online,3,50,20
78,2022-01-26,Teclado Mecánico,Accesorios,Mayorista,2,100,50
79,2022-01-27,Laptop Pro,Electrónica,Online,3,1200,900
80,2022-01-27,Silla Ergonómica,Mobiliario,Mayorista,3,250,150
81,2022-01-27,Escritorio,Mobiliario,Online,4,400,250
82,2022-01-27,Teclado Mecánico,Accesorios,Tienda Física,2,100,50
83,2022-01-28,Monitor 27",Electrónica,Tienda Física,4,300,200
84,2022-01-28,Teclado Mecánico,Accesorios,Mayorista,1,100,50
85,2022-01-28,Teclado Mecánico,Accesorios,Mayorista,2,100,50
86,2022-01-28,Monitor 27",Electrónica,Mayorista,4,300,200
87,2022-01-28,Escritorio,Mobiliario,Tienda Física,4,400,250
88,2022-01-29,Monitor 27",Electrónica,Online,4,300,200
89,2022-01-29,Mouse Inalámbrico,Accesorios,Mayorista,4,50,20
90,2022-01-29,Silla Ergonómica,Mobiliario,Online,4,250,150
91,2022-01-30,Mouse Inalámbrico,Accesorios,Tienda Física,3,50,20
92,2022-01-30,Mouse Inalámbrico,Accesorios,Tienda Física,1,50,20
93,2022-01-30,Escritorio,Mobiliario,Tienda Física,1,400,250
94,2022-01-30,Laptop Pro,Electrónica,Tienda Física,3,1200,900
95,2022-01-30,Silla Ergonómica,Mobiliario,Online,2,250,150
96,2022-01-31,Teclado Mecánico,Accesorios,Online,4,100,50
97,2022-01-31,Laptop Pro,Electrónica,Tienda Física,1,1200,900
98,2022-01-31,Silla Ergonómica,Mobiliario,Tienda Física,3,250,150
99,2022-01-31,Mouse Inalámbrico,Accesorios,Mayorista,3,50,20
100,2022-02-01,Mouse Inalámbrico,Accesorios,Online,2,50,20
101,2022-02-01,Mouse Inalámbrico,Accesorios,Tienda Física,4,50,20
102,2022-02-01,Escritorio,Mobiliario,Mayorista,4,400,250
103,2022-02-02,Silla Ergonómica,Mobiliario,Online,4,250,150
104,2022-02-03,Silla Ergonómica,Mobiliario,Tienda Física,1,250,150
105,2022-02-03,Escritorio,Mobiliario,Online,4,400,250
106,2022-02-03,Silla Ergonómica,Mobiliario,Online,3,250,150
107,2022-02-03,Laptop Pro,Electrónica,Tienda Física,4,1200,900
108,2022-02-04,Escritorio,Mobiliario,Mayorista,2,400,250
109,2022-02-04,Teclado Mecánico,Accesorios,Mayorista,3,100,50
110,2022-02-04,Teclado Mecánico,Accesorios,Mayorista,2,100,50
111,2022-02-04,Escritorio,Mobiliario,Mayorista,1,400,250
112,2022-02-04,Escritorio,Mobiliario,Online,2,400,250
113,2022-02-05,Laptop Pro,Electrónica,Tienda Física,4,1200,900
114,2022-02-05,Silla Ergonómica,Mobiliario,Online,1,250,150
115,2022-02-05,Laptop Pro,Electrónica,Online,4,1200,900
116,2022-02-05,Monitor 27",Electrónica,Mayorista,4,300,200
117,2022-02-06,Mouse Inalámbrico,Accesorios,Mayorista,2,50,20
118,2022-02-06,Laptop Pro,Electrónica,Tienda Física,4,1200,900
119,2022-02-06,Monitor 27",Electrónica,Mayorista,2,300,200
120,2022-02-07,Teclado Mecánico,Accesorios,Online,1,100,50
121,2022-02-07,Mouse Inalámbrico,Accesorios,Tienda Física,2,50,20
122,2022-02-07,Laptop Pro,Electrónica,Online,4,1200,900
123,2022-02-07,Escritorio,Mobiliario,Mayorista,3,400,250
124,2022-02-07,Monitor 27",Electrónica,Online,3,300,200
125,2022-02-08,Monitor 27",Electrónica,Tienda Física,2,300,200
126,2022-02-08,Mouse Inalámbrico,Accesorios,Tienda Física,3,50,20
127,2022-02-08,Teclado Mecánico,Accesorios,Mayorista,2,100,50
128,2022-02-09,Teclado Mecánico,Accesorios,Online,1,100,50
129,2022-02-09,Mouse Inalámbrico,Accesorios,Mayorista,1,50,20
130,2022-02-10,Monitor 27",Electrónica,Mayorista,4,300,200
131,2022-02-10,Mouse Inalámbrico,Accesorios,Tienda Física,4,50,20
132,2022-02-11,Escritorio,Mobiliario,Tienda Física,4,400,250
133,2022-02-11,Mouse Inalámbrico,Accesorios,Tienda Física,4,50,20
134,2022-02-11,Silla Ergonómica,Mobiliario,Mayorista,2,250,150
135,2022-02-11,Silla Ergonómica,Mobiliario,Online,2,250,150
136,2022-02-12,Mouse Inalámbrico,Accesorios,Tienda Física,2,50,20
137,2022-02-12,Teclado Mecánico,Accesorios,Tienda Física,4,100,50
138,2022-02-13,Silla Ergonómica,Mobiliario,Online,4,250,150
139,2022-02-13,Escritorio,Mobiliario,Online,4,400,250
140,2022-02-13,Laptop Pro,Electrónica,Mayorista,1,1200,900
141,2022-02-13,Escritorio,Mobiliario,Online,4,400,250
142,2022-02-14,Monitor 27",Electrónica,Mayorista,2,300,200
143,2022-02-14,Silla Ergonómica,Mobiliario,Tienda Física,1,250,150
144,2022-02-15,Teclado Mecánico,Accesorios,Mayorista,2,100,50
145,2022-02-15,Mouse Inalámbrico,Accesorios,Online,1,50,20
146,2022-02-15,Monitor 27",Electrónica,Online,2,300,200
147,2022-02-15,Escritorio,Mobiliario,Mayorista,4,400,250
148,2022-02-15,Silla Ergonómica,Mobiliario,Tienda Física,2,250,150
149,2022-02-16,Mouse Inalámbrico,Accesorios,Mayorista,2,50,20
150,2022-02-16,Silla Ergonómica,Mobiliario,Online,1,250,150
151,2022-02-16,Monitor 27",Electrónica,Online,2,300,200
152,2022-02-17,Teclado Mecánico,Accesorios,Online,4,100,50
153,2022-02-17,Monitor 27",Electrónica,Mayorista,1,300,200
154,2022-02-17,Teclado Mecánico,Accesorios,Tienda Física,2,100,50
155,2022-02-17,Escritorio,Mobiliario,Mayorista,3,400,250
156,2022-02-17,Escritorio,Mobiliario,Online,3,400,250
157,2022-02-18,Escritorio,Mobiliario,Tienda Física,1,400,250
158,2022-02-18,Mouse Inalámbrico,Accesorios,Online,4,50,20
159,2022-02-18,Silla Ergonómica,Mobiliario,Mayorista,3,250,150
160,2022-02-19,Teclado Mecánico,Accesorios,Online,3,100,50
161,2022-02-19,Teclado Mecánico,Accesorios,Mayorista,4,100,50
162,2022-02-20,Laptop Pro,Electrónica,Mayorista,2,1200,900
163,2022-02-20,Escritorio,Mobiliario,Tienda Física,3,400,250
164,2022-02-20,Teclado Mecánico,Accesorios,Tienda Física,2,100,50
165,2022-02-21,Teclado Mecánico,Accesorios,Tienda Física,4,100,50
166,2022-02-21,Mouse Inalámbrico,Accesorios,Mayorista,3,50,20
167,2022-02-21,Teclado Mecánico,Accesorios,Mayorista,4,100,50
168,2022-02-21,Silla Ergonómica,Mobiliario,Online,1,250,150
169,2022-02-22,Silla Ergonómica,Mobiliario,Mayorista,4,250,150
170,2022-02-22,Laptop Pro,Electrónica,Mayorista,2,1200,900
171,2022-02-22,Mouse Inalámbrico,Accesorios,Tienda Física,2,50,20
172,2022-02-22,Silla Ergonómica,Mobiliario,Tienda Física,3,250,150
173,2022-02-22,Laptop Pro,Electrónica,Online,4,1200,900
174,2022-02-23,Mouse Inalámbrico,Accesorios,Online,4,50,20
175,2022-02-24,Teclado Mecánico,Accesorios,Online,2,100,50
176,2022-02-24,Escritorio,Mobiliario,Mayorista,2,400,250
177,2022-02-24,Laptop Pro,Electrónica,Tienda Física,1,1200,900
178,2022-02-25,Monitor 27",Electrónica,Tienda Física,4,300,200
179,2022-02-26,Teclado Mecánico,Accesorios,Online,1,100,50
180,2022-02-26,Laptop Pro,Electrónica,Mayorista,1,1200,900
181,2022-02-27,Laptop Pro,Electrónica,Tienda Física,3,1200,900
182,2022-02-27,Silla Ergonómica,Mobiliario,Online,3,250,150
183,2022-02-28,Laptop Pro,Electrónica,Tienda Física,1,1200,900
184,2022-02-28,Teclado Mecánico,Accesorios,Mayorista,3,100,50
185,2022-02-28,Silla Ergonómica,Mobiliario,Tienda Física,2,250,150
186,2022-03-01,Monitor 27",Electrónica,Tienda Física,1,300,200
187,2022-03-01,Silla Ergonómica,Mobiliario,Tienda Física,2,250,150
188,2022-03-01,Laptop Pro,Electrónica,Mayorista,3,1200,900
189,2022-03-02,Escritorio,Mobiliario,Mayorista,4,400,250
190,2022-03-02,Teclado Mecánico,Accesorios,Tienda Física,2,100,50
191,2022-03-03,Silla Ergonómica,Mobiliario,Mayorista,2,250,150
192,2022-03-03,Silla Ergonómica,Mobiliario,Tienda Física,1,250,150
193,2022-03-03,Mouse Inalámbrico,Accesorios,Tienda Física,1,50,20
194,2022-03-03,Escritorio,Mobiliario,Mayorista,2,400,250
195,2022-03-04,Laptop Pro,Electrónica,Online,3,1200,900
196,2022-03-04,Monitor 27",Electrónica,Online,1,300,200
197,2022-03-05,Silla Ergonómica,Mobiliario,Online,2,250,150
198,2022-03-06,Laptop Pro,Electrónica,Mayorista,2,1200,900
199,2022-03-06,Monitor 27",Electrónica,Online,4,300,200
200,2022-03-06,Escritorio,Mobiliario,Mayorista,4,400,250
201,2022-03-06,Laptop Pro,Electrónica,Tienda Física,2,1200,900
202,2022-03-06,Silla Ergonómica,Mobiliario,Online,1,250,150
203,2022-03-07,Teclado Mecánico,Accesorios,Online,2,100,50
204,2022-03-07,Escritorio,Mobiliario,Online,4,400,250
205,2022-03-07,Mouse Inalámbrico,Accesorios,Online,4,50,20
206,2022-03-08,Escritorio,Mobiliario,Mayorista,4,400,250
207,2022-03-08,Laptop Pro,Electrónica,Mayorista,4,1200,900
208,2022-03-08,Teclado Mecánico,Accesorios,Mayorista,2,100,50
209,2022-03-08,Escritorio,Mobiliario,Online,3,400,250
210,2022-03-09,Silla Ergonómica,Mobiliario,Online,3,250,150
211,2022-03-10,Laptop Pro,Electrónica,Online,1,1200,900
212,2022-03-10,Laptop Pro,Electrónica,Mayorista,3,1200,900
213,2022-03-10,Monitor 27",Electrónica,Tienda Física,1,300,200
214,2022-03-10,Mouse Inalámbrico,Accesorios,Online,3,50,20
215,2022-03-11,Silla Ergonómica,Mobiliario,Mayorista,3,250,150
216,2022-03-11,Monitor 27",Electrónica,Online,2,300,200
217,2022-03-11,Monitor 27",Electrónica,Mayorista,2,300,200
218,2022-03-12,Laptop Pro,Electrónica,Mayorista,3,1200,900
219,2022-03-12,Monitor 27",Electrónica,Tienda Física,2,300,200
220,2022-03-13,Escritorio,Mobiliario,Tienda Física,2,400,250
221,2022-03-13,Silla Ergonómica,Mobiliario,Online,2,250,150
222,2022-03-13,Teclado Mecánico,Accesorios,Online,3,100,50
223,2022-03-13,Silla Ergonómica,Mobiliario,Online,2,250,150
224,2022-03-14,Mouse Inalámbrico,Accesorios,Tienda Física,3,50,20
225,2022-03-14,Teclado Mecánico,Accesorios,Online,3,100,50
226,2022-03-14,Silla Ergonómica,Mobiliario,Tienda Física,1,250,150
227,2022-03-14,Monitor 27",Electrónica,Online,3,300,200
228,2022-03-15,Laptop Pro,Electrónica,Online,3,1200,900
229,2022-03-15,Laptop Pro,Electrónica,Online,2,1200,900
230,2022-03-15,Mouse Inalámbrico,Accesorios,Tienda Física,2,50,20
231,2022-03-15,Teclado Mecánico,Accesorios,Mayorista,3,100,50
232,2022-03-16,Teclado Mecánico,Accesorios,Mayorista,2,100,50
233,2022-03-16,Monitor 27",Electrónica,Tienda Física,4,300,200
234,2022-03-16,Silla Ergonómica,Mobiliario,Online,2,250,150
235,2022-03-16,Monitor 27",Electrónica,Online,1,300,200
236,2022-03-17,Laptop Pro,Electrónica,Mayorista,3,1200,900
237,2022-03-17,Monitor 27",Electrónica,Mayorista,2,300,200
238,2022-03-17,Monitor 27",Electrónica,Online,3,300,200
239,2022-03-17,Teclado Mecánico,Accesorios,Tienda Física,3,100,50
240,2022-03-18,Teclado Mecánico,Accesorios,Tienda Física,4,100,50
241,2022-03-18,Teclado Mecánico,Accesorios,Tienda Física,4,100,50
242,2022-03-19,Teclado Mecánico,Accesorios,Online,4,100,50
243,2022-03-20,Laptop Pro,Electrónica,Mayorista,2,1200,900
244,2022-03-21,Silla Ergonómica,Mobiliario,Tienda Física,1,250,150
245,2022-03-21,Escritorio,Mobiliario,Online,4,400,250
246,2022-03-21,Laptop Pro,Electrónica,Tienda Física,1,1200,900
247,2022-03-21,Escritorio,Mobiliario,Mayorista,1,400,250
248,2022-03-22,Monitor 27",Electrónica,Mayorista,1,300,200
249,2022-03-22,Laptop Pro,Electrónica,Online,1,1200,900
250,2022-03-22,Laptop Pro,Electrónica,Tienda Física,3,1200,900
251,2022-03-23,Silla Ergonómica,Mobiliario,Tienda Física,3,250,150
252,2022-03-23,Laptop Pro,Electrónica,Tienda Física,1,1200,900
253,2022-03-23,Monitor 27",Electrónica,Mayorista,2,300,200
254,2022-03-23,Mouse Inalámbrico,Accesorios,Tienda Física,2,50,20
255,2022-03-24,Escritorio,Mobiliario,Online,2,400,250
256,2022-03-24,Monitor 27",Electrónica,Mayorista,3,300,200
257,2022-03-24,Mouse Inalámbrico,Accesorios,Mayorista,4,50,20
258,2022-03-25,Silla Ergonómica,Mobiliario,Mayorista,1,250,150
259,2022-03-25,Teclado Mecánico,Accesorios,Online,2,100,50
260,2022-03-25,Silla Ergonómica,Mobiliario,Online,4,250,150
261,2022-03-25,Laptop Pro,Electrónica,Mayorista,3,1200,900
262,2022-03-25,Teclado Mecánico,Accesorios,Tienda Física,1,100,50
263,2022-03-26,Mouse Inalámbrico,Accesorios,Online,2,50,20
264,2022-03-26,Silla Ergonómica,Mobiliario,Mayorista,2,250,150
265,2022-03-26,Teclado Mecánico,Accesorios,Online,4,100,50
266,2022-03-26,Teclado Mecánico,Accesorios,Online,4,100,50
267,2022-03-27,Escritorio,Mobiliario,Tienda Física,4,400,250
268,2022-03-27,Silla Ergonómica,Mobiliario,Tienda Física,1,250,150
269,2022-03-27,Silla Ergonómica,Mobiliario,Tienda Física,4,250,150
270,2022-03-28,Laptop Pro,Electrónica,Mayorista,2,1200,900
271,2022-03-28,Teclado Mecánico,Accesorios,Online,2,100,50
272,2022-03-29,Escritorio,Mobiliario,Mayorista,1,400,250
273,2022-03-29,Laptop Pro,Electrónica,Tienda Física,4,1200,900
274,2022-03-29,Monitor 27",Electrónica,Mayorista,2,300,200
275,2022-03-30,Mouse Inalámbrico,Accesorios,Online,3,50,20
276,2022-03-30,Silla Ergonómica,Mobiliario,Mayorista,3,250,150
277,2022-03-30,Mouse Inalámbrico,Accesorios,Mayorista,4,50,20
278,2022-03-30,Teclado Mecánico,Accesorios,Mayorista,1,100,50
279,2022-03-31,Teclado Mecánico,Accesorios,Mayorista,4,100,50
280,2022-03-31,Monitor 27",Electrónica,Tienda Física,3,300,200
281,2022-03-31,Teclado Mecánico,Accesorios,Mayorista,1,100,50
282,2022-04-01,Laptop Pro,Electrónica,Online,3,1200,900
283,2022-04-02,Escritorio,Mobiliario,Online,4,400,250
284,2022-04-02,Silla Ergonómica,Mobiliario,Online,4,250,150
285,2022-04-03,Teclado Mecánico,Accesorios,Mayorista,1,100,50
286,2022-04-04,Mouse Inalámbrico,Accesorios,Mayorista,2,50,20
287,2022-04-04,Laptop Pro,Electrónica,Tienda Física,4,1200,900
288,2022-04-04,Mouse Inalámbrico,Accesorios,Online,2,50,20
289,2022-04-04,Monitor 27",Electrónica,Online,2,300,200
290,2022-04-04,Escritorio,Mobiliario,Mayorista,1,400,250
291,2022-04-05,Escritorio,Mobiliario,Tienda Física,2,400,250
292,2022-04-05,Monitor 27",Electrónica,Online,3,300,200
293,2022-04-05,Monitor 27",Electrónica,Mayorista,1,300,200
294,2022-04-05,Monitor 27",Electrónica,Tienda Física,3,300,200
295,2022-04-05,Escritorio,Mobiliario,Online,3,400,250
296,2022-04-06,Escritorio,Mobiliario,Online,3,400,250
297,2022-04-06,Monitor 27",Electrónica,Mayorista,3,300,200
298,2022-04-06,Mouse Inalámbrico,Accesorios,Mayorista,3,50,20
299,2022-04-06,Laptop Pro,Electrónica,Online,3,1200,900
300,2022-04-07,Mouse Inalámbrico,Accesorios,Online,2,50,20
301,2022-04-08,Mouse Inalámbrico,Accesorios,Tienda Física,2,50,20
302,2022-04-08,Mouse Inalámbrico,Accesorios,Online,4,50,20
303,2022-04-09,Teclado Mecánico,Accesorios,Mayorista,4,100,50
304,2022-04-10,Silla Ergonómica,Mobiliario,Online,1,250,150
305,2022-04-10,Laptop Pro,Electrónica,Tienda Física,1,1200,900
306,2022-04-10,Monitor 27",Electrónica,Online,2,300,200
307,2022-04-10,Laptop Pro,Electrónica,Online,1,1200,900
308,2022-04-11,Laptop Pro,Electrónica,Mayorista,3,1200,900
309,2022-04-11,Teclado Mecánico,Accesorios,Online,2,100,50
310,2022-04-11,Laptop Pro,Electrónica,Mayorista,3,1200,900
311,2022-04-11,Silla Ergonómica,Mobiliario,Mayorista,4,250,150
312,2022-04-12,Laptop Pro,Electrónica,Online,1,1200,900
313,2022-04-13,Silla Ergonómica,Mobiliario,Online,4,250,150
314,2022-04-13,Teclado Mecánico,Accesorios,Tienda Física,2,100,50
315,2022-04-13,Teclado Mecánico,Accesorios,Mayorista,3,100,50
316,2022-04-13,Monitor 27",Electrónica,Mayorista,3,300,200
317,2022-04-13,Laptop Pro,Electrónica,Online,1,1200,900
318,2022-04-14,Teclado Mecánico,Accesorios,Tienda Física,2,100,50
319,2022-04-14,Laptop Pro,Electrónica,Online,1,1200,900
320,2022-04-15,Teclado Mecánico,Accesorios,Online,1,100,50
321,2022-04-15,Silla Ergonómica,Mobiliario,Online,4,250,150
322,2022-04-15,Silla Ergonómica,Mobiliario,Tienda Física,4,250,150
323,2022-04-16,Mouse Inalámbrico,Accesorios,Online,4,50,20
324,2022-04-16,Monitor 27",Electrónica,Online,3,300,200
325,2022-04-16,Monitor 27",Electrónica,Mayorista,4,300,200
326,2022-04-16,Mouse Inalámbrico,Accesorios,Tienda Física,1,50,20
327,2022-04-16,Silla Ergonómica,Mobiliario,Online,2,250,150
328,2022-04-17,Silla Ergonómica,Mobiliario,Online,2,250,150
329,2022-04-18,Laptop Pro,Electrónica,Tienda Física,4,1200,900
330,2022-04-19,Monitor 27",Electrónica,Online,2,300,200
331,2022-04-19,Teclado Mecánico,Accesorios,Mayorista,3,100,50
332,2022-04-19,Mouse Inalámbrico,Accesorios,Mayorista,1,50,20
333,2022-04-19,Teclado Mecánico,Accesorios,Online,3,100,50
334,2022-04-20,Escritorio,Mobiliario,Mayorista,2,400,250
335,2022-04-20,Mouse Inalámbrico,Accesorios,Online,4,50,20
336,2022-04-20,Silla Ergonómica,Mobiliario,Online,1,250,150
337,2022-04-21,Escritorio,Mobiliario,Tienda Física,1,400,250
338,2022-04-21,Teclado Mecánico,Accesorios,Tienda Física,2,100,50
339,2022-04-21,Silla Ergonómica,Mobiliario,Online,2,250,150
340,2022-04-21,Escritorio,Mobiliario,Tienda Física,2,400,250
341,2022-04-22,Teclado Mecánico,Accesorios,Online,3,100,50
342,2022-04-22,Mouse Inalámbrico,Accesorios,Tienda Física,4,50,20
343,2022-04-23,Teclado Mecánico,Accesorios,Tienda Física,3,100,50
344,2022-04-24,Mouse Inalámbrico,Accesorios,Online,3,50,20
345,2022-04-24,Escritorio,Mobiliario,Mayorista,2,400,250
346,2022-04-24,Escritorio,Mobiliario,Mayorista,4,400,250
347,2022-04-24,Silla Ergonómica,Mobiliario,Tienda Física,1,250,150
348,2022-04-24,Monitor 27",Electrónica,Mayorista,2,300,200
349,2022-04-25,Teclado Mecánico,Accesorios,Mayorista,4,100,50
350,2022-04-25,Silla Ergonómica,Mobiliario,Mayorista,1,250,150
351,2022-04-25,Monitor 27",Electrónica,Online,2,300,200
352,2022-04-26,Escritorio,Mobiliario,Online,4,400,250
353,2022-04-26,Silla Ergonómica,Mobiliario,Tienda Física,4,250,150
354,2022-04-27,Silla Ergonómica,Mobiliario,Online,3,250,150
355,2022-04-27,Mouse Inalámbrico,Accesorios,Mayorista,3,50,20
356,2022-04-27,Escritorio,Mobiliario,Tienda Física,4,400,250
357,2022-04-28,Escritorio,Mobiliario,Mayorista,1,400,250
358,2022-04-28,Laptop Pro,Electrónica,Online,3,1200,900
359,2022-04-29,Mouse Inalámbrico,Accesorios,Tienda Física,1,50,20
360,2022-04-29,Escritorio,Mobiliario,Tienda Física,2,400,250
361,2022-04-30,Monitor 27",Electrónica,Tienda Física,4,300,200
362,2022-04-30,Silla Ergonómica,Mobiliario,Online,3,250,150
363,2022-05-01,Escritorio,Mobiliario,Tienda Física,1,400,250
364,2022-05-01,Monitor 27",Electrónica,Online,1,300,200
365,2022-05-01,Teclado Mecánico,Accesorios,Tienda Física,1,100,50
366,2022-05-02,Teclado Mecánico,Accesorios,Online,3,100,50
367,2022-05-02,Monitor 27",Electrónica,Mayorista,4,300,200
368,2022-05-02,Escritorio,Mobiliario,Mayorista,2,400,250
369,2022-05-02,Teclado Mecánico,Accesorios,Online,3,100,50
370,2022-05-02,Silla Ergonómica,Mobiliario,Tienda Física,3,250,150
371,2022-05-03,Escritorio,Mobiliario,Mayorista,1,400,250
372,2022-05-03,Monitor 27",Electrónica,Mayorista,4,300,200
373,2022-05-04,Laptop Pro,Electrónica,Online,3,1200,900
374,2022-05-05,Mouse Inalámbrico,Accesorios,Mayorista,3,50,20
375,2022-05-05,Laptop Pro,Electrónica,Online,4,1200,900
376,2022-05-06,Teclado Mecánico,Accesorios,Tienda Física,4,100,50
377,2022-05-06,Escritorio,Mobiliario,Tienda Física,4,400,250
378,2022-05-07,Silla Ergonómica,Mobiliario,Online,1,250,150
379,2022-05-07,Silla Ergonómica,Mobiliario,Mayorista,1,250,150
380,2022-05-07,Teclado Mecánico,Accesorios,Online,1,100,50
381,2022-05-08,Mouse Inalámbrico,Accesorios,Mayorista,2,50,20
382,2022-05-08,Silla Ergonómica,Mobiliario,Online,3,250,150
383,2022-05-08,Silla Ergonómica,Mobiliario,Mayorista,2,250,150
384,2022-05-08,Silla Ergonómica,Mobiliario,Online,2,250,150
385,2022-05-08,Teclado Mecánico,Accesorios,Mayorista,1,100,50
386,2022-05-09,Laptop Pro,Electrónica,Online,2,1200,900
387,2022-05-10,Monitor 27",Electrónica,Mayorista,2,300,200
388,2022-05-11,Mouse Inalámbrico,Accesorios,Mayorista,2,50,20
389,2022-05-11,Mouse Inalámbrico,Accesorios,Mayorista,1,50,20
390,2022-05-11,Monitor 27",Electrónica,Online,2,300,200
391,2022-05-12,Monitor 27",Electrónica,Tienda Física,3,300,200
