id,fecha,pais,ciudad,latitud,longitud,categoria,subcategoria,ventas,costo,ganancia,satisfaccion_cliente,tiempo_entrega
45,2023-11-27,Canada,Toronto,43.651,-79.347,Ropa,Pantalones,528,376,152,8.2,10
46,2023-11-01,Italy,Rome,41.9028,12.4964,Software,Antivirus,1237,741,496,8.5,11
47,2023-04-04,Canada,Toronto,43.651,-79.347,Ropa,Zapatos,1961,973,988,5.1,13
48,2023-07-10,United Kingdom,London,51.5074,-0.1278,Ropa,Chaquetas,2441,1502,939,8.2,3
49,2023-02-27,India,Mumbai,19.076,72.8777,Ropa,Zapatos,2466,1371,1095,7.7,11
50,2023-07-07,Japan,Osaka,34.6937,135.5023,Software,Ofimatica,3743,2265,1478,8.1,9
51,2023-11-04,United States,New York,40.7128,-74.006,Ropa,Chaquetas,621,366,255,5.6,2
52,2023-04-17,Spain,Madrid,40.4168,-3.7038,Servicios,Garantia,2829,1645,1184,7.2,14
53,2023-06-06,United Kingdom,London,51.5074,-0.1278,Software,Antivirus,3845,2639,1206,5.1,11
54,2023-03-12,United States,New York,40.7128,-74.006,Servicios,Consultoria,833,482,351,8.7,9
55,2023-02-02,Japan,Tokyo,35.6762,139.6503,Muebles,Sillas,3048,2208,840,7.4,1
56,2023-01-30,Spain,Madrid,40.4168,-3.7038,Ropa,Camisas,776,424,352,6.9,9
57,2023-10-21,Italy,Rome,41.9028,12.4964,Servicios,Garantia,798,507,291,8.4,2
58,2023-04-20,France,Paris,48.8566,2.3522,Servicios,Instalacion,1247,499,748,8.5,6
59,2023-12-13,Japan,Osaka,34.6937,135.5023,Servicios,Soporte,2262,1239,1023,8.0,12
60,2023-11-08,Germany,Munich,48.1351,11.582,Electronica,Tablets,2038,1158,880,5.5,10
61,2023-07-30,Canada,Toronto,43.651,-79.347,Muebles,Camas,2037,1303,734,8.5,13
62,2023-09-01,Australia,Melbourne,-37.8136,144.9631,Ropa,Camisas,1237,794,443,7.4,5
63,2023-04-13,United States,New York,40.7128,-74.006,Electronica,Laptops,2821,1382,1439,5.8,7
64,2023-01-13,Brazil,Rio de Janeiro,-22.9068,-43.1729,Ropa,Camisas,432,261,171,5.4,14
65,2023-08-09,Australia,Melbourne,-37.8136,144.9631,Servicios,Garantia,3385,2498,887,5.1,4
66,2023-07-18,Spain,Barcelona,41.3851,2.1734,Servicios,Soporte,1012,544,468,8.0,11
67,2023-01-29,Germany,Munich,48.1351,11.582,Software,Juegos,2702,1641,1061,8.5,13
68,2023-11-23,India,Delhi,28.7041,77.1025,Software,Juegos,1847,884,963,7.9,3
69,2023-04-01,South Africa,Cape Town,-33.9249,18.4241,Muebles,Camas,1994,1242,752,7.9,11
70,2023-04-14,France,Paris,48.8566,2.3522,Muebles,Camas,1864,1142,722,7.3,9
71,2023-10-29,United States,Los Angeles,34.0522,-118.2437,Electronica,Tablets,3745,2602,1143,6.9,10
72,2023-03-03,Canada,Toronto,43.651,-79.347,Muebles,Mesas,2480,1604,876,5.9,2
73,2023-09-13,Canada,Toronto,43.651,-79.347,Servicios,Instalacion,3011,1720,1291,6.8,11
74,2023-02-23,Canada,Vancouver,49.2827,-123.1207,Servicios,Instalacion,3480,2080,1400,7.5,14
75,2023-07-15,Italy,Rome,41.9028,12.4964,Muebles,Sillas,2150,964,1186,7.8,9
76,2023-11-14,Spain,Madrid,40.4168,-3.7038,Electronica,Tablets,487,250,237,5.4,4
77,2023-06-08,Germany,Munich,48.1351,11.582,Servicios,Consultoria,2103,1100,1003,6.7,13
78,2023-03-15,Brazil,Rio de Janeiro,-22.9068,-43.1729,Electronica,Telefonos,346,196,150,6.6,10
79,2023-09-07,India,Delhi,28.7041,77.1025,Electronica,Telefonos,3401,1880,1521,9.2,8
80,2023-07-13,Brazil,Rio de Janeiro,-22.9068,-43.1729,Ropa,Chaquetas,3418,1466,1952,7.9,12
81,2023-04-14,Spain,Barcelona,41.3851,2.1734,Muebles,Sillas,2325,1535,790,5.6,11
82,2023-11-28,Brazil,Sao Paulo,-23.5505,-46.6333,Software,Juegos,2651,1313,1338,9.7,11
83,2023-09-18,Australia,Sydney,-33.8688,151.2093,Servicios,Soporte,3655,1705,1950,8.2,12
84,2023-12-21,India,Delhi,28.7041,77.1025,Ropa,Chaquetas,246,195,51,9.6,10
85,2023-03-07,Germany,Berlin,52.52,13.405,Servicios,Consultoria,1165,773,392,8.6,5
86,2023-06-01,India,Mumbai,19.076,72.8777,Ropa,Camisas,3190,1788,1402,9.1,9
87,2023-10-10,India,Delhi,28.7041,77.1025,Servicios,Instalacion,3743,2341,1402,9.6,4
88,2023-07-05,Brazil,Sao Paulo,-23.5505,-46.6333,Software,Juegos,1235,521,714,9.1,5
89,2023-09-12,United Kingdom,London,51.5074,-0.1278,Electronica,Tablets,2793,1152,1641,9.2,6
90,2023-04-09,France,Paris,48.8566,2.3522,Software,Diseno,3311,1900,1411,7.1,10
91,2023-06-20,Japan,Osaka,34.6937,135.5023,Software,Ofimatica,142,65,77,9.8,9
92,2023-09-13,Canada,Vancouver,49.2827,-123.1207,Servicios,Consultoria,2382,1394,988,8.4,13
93,2023-09-25,South Africa,Cape Town,-33.9249,18.4241,Ropa,Chaquetas,665,453,212,6.8,6
94,2023-02-11,Argentina,Buenos Aires,-34.6037,-58.3816,Muebles,Camas,639,317,322,8.9,13
95,2023-11-03,Japan,Osaka,34.6937,135.5023,Muebles,Mesas,1165,804,361,9.6,14
96,2023-06-19,Germany,Munich,48.1351,11.582,Muebles,Mesas,944,724,220,8.9,1
97,2023-03-18,Canada,Vancouver,49.2827,-123.1207,Servicios,Soporte,2451,1800,651,8.6,9
98,2023-06-08,Australia,Melbourne,-37.8136,144.9631,Electronica,Monitores,266,138,128,8.3,13
99,2023-02-20,India,Mumbai,19.076,72.8777,Electronica,Tablets,3955,2167,1788,9.4,10
100,2023-05-12,United States,Los Angeles,34.0522,-118.2437,Electronica,Tablets,3032,2210,822,8.6,11
101,2023-01-28,Japan,Osaka,34.6937,135.5023,Servicios,Consultoria,2297,970,1327,8.3,10
102,2023-05-25,Japan,Tokyo,35.6762,139.6503,Software,Ofimatica,3078,1981,1097,8.9,7
103,2023-11-19,Australia,Melbourne,-37.8136,144.9631,Muebles,Sofas,1929,1362,567,7.3,11
104,2023-11-16,Japan,Tokyo,35.6762,139.6503,Software,Juegos,3271,2254,1017,8.2,10
105,2023-01-09,United States,Los Angeles,34.0522,-118.2437,Electronica,Laptops,3440,2591,849,9.7,5
106,2023-07-31,Italy,Rome,41.9028,12.4964,Ropa,Zapatos,3565,1673,1892,7.0,2
107,2023-02-20,South Africa,Cape Town,-33.9249,18.4241,Ropa,Chaquetas,4021,2285,1736,8.2,9
108,2023-12-07,Spain,Barcelona,41.3851,2.1734,Electronica,Monitores,1192,505,687,8.6,5
109,2023-11-15,Germany,Berlin,52.52,13.405,Muebles,Mesas,3809,2268,1541,6.6,13
110,2023-11-03,Canada,Toronto,43.651,-79.347,Servicios,Garantia,2272,1110,1162,6.7,12
111,2023-09-13,Australia,Melbourne,-37.8136,144.9631,Servicios,Instalacion,3756,2317,1439,9.1,3
112,2023-06-17,Spain,Madrid,40.4168,-3.7038,Muebles,Sofas,683,414,269,8.2,2
113,2023-02-09,Japan,Tokyo,35.6762,139.6503,Muebles,Sillas,2708,1529,1179,7.0,12
114,2023-10-13,Spain,Madrid,40.4168,-3.7038,Electronica,Monitores,3868,1678,2190,9.4,9
115,2023-06-27,Argentina,Buenos Aires,-34.6037,-58.3816,Muebles,Sillas,3154,1270,1884,9.5,7
116,2023-04-14,Japan,Osaka,34.6937,135.5023,Software,Diseno,2142,1458,684,8.2,9
117,2023-12-23,Australia,Melbourne,-37.8136,144.9631,Ropa,Pantalones,698,495,203,5.7,11
118,2023-01-12,Germany,Berlin,52.52,13.405,Ropa,Pantalones,1996,1121,875,6.1,2
119,2023-08-19,Japan,Tokyo,35.6762,139.6503,Software,Diseno,1051,598,453,8.0,10
120,2023-02-02,United Kingdom,London,51.5074,-0.1278,Software,Diseno,3840,2169,1671,8.2,1
121,2023-02-05,Australia,Sydney,-33.8688,151.2093,Ropa,Chaquetas,2991,2364,627,7.9,9
122,2023-02-22,Brazil,Rio de Janeiro,-22.9068,-43.1729,Ropa,Zapatos,1837,835,1002,8.3,10
123,2023-01-25,Germany,Berlin,52.52,13.405,Software,Diseno,2765,1713,1052,5.1,6
124,2023-08-27,Spain,Barcelona,41.3851,2.1734,Software,Ofimatica,2411,1716,695,9.6,8
125,2023-09-29,Spain,Madrid,40.4168,-3.7038,Ropa,Chaquetas,960,757,203,8.3,2
126,2023-01-28,Germany,Berlin,52.52,13.405,Muebles,Sillas,2654,1804,850,7.2,10
127,2023-10-19,Italy,Rome,41.9028,12.4964,Muebles,Sillas,3610,2246,1364,6.6,14
128,2023-02-13,Canada,Toronto,43.651,-79.347,Servicios,Soporte,3772,2962,810,9.3,2
129,2023-05-28,Argentina,Buenos Aires,-34.6037,-58.3816,Software,Antivirus,1892,1055,837,5.8,6
130,2023-05-09,Spain,Madrid,40.4168,-3.7038,Electronica,Laptops,3620,2693,927,5.3,5
131,2023-10-16,Australia,Sydney,-33.8688,151.2093,Muebles,Mesas,3246,2444,802,5.3,5
132,2023-03-29,Spain,Barcelona,41.3851,2.1734,Servicios,Garantia,1541,810,731,5.1,8
133,2023-08-01,Spain,Barcelona,41.3851,2.1734,Software,Diseno,3496,2474,1022,5.9,5
134,2023-02-18,Brazil,Rio de Janeiro,-22.9068,-43.1729,Ropa,Camisas,673,389,284,7.8,2
135,2023-10-26,Canada,Toronto,43.651,-79.347,Software,Diseno,2306,1640,666,9.3,14
136,2023-05-03,Mexico,Mexico City,19.4326,-99.1332,Ropa,Chaquetas,3715,2047,1668,7.4,7
137,2023-12-17,Mexico,Mexico City,19.4326,-99.1332,Software,Antivirus,3902,3019,883,7.6,6
138,2023-01-03,United States,New York,40.7128,-74.006,Electronica,Telefonos,694,495,199,7.6,8
139,2023-07-04,Spain,Madrid,40.4168,-3.7038,Ropa,Chaquetas,3355,2512,843,8.2,1
140,2023-03-31,Spain,Madrid,40.4168,-3.7038,Electronica,Monitores,1666,939,727,5.6,6
141,2023-12-08,Spain,Madrid,40.4168,-3.7038,Software,Juegos,1314,884,430,9.7,1
142,2023-06-02,United Kingdom,London,51.5074,-0.1278,Ropa,Pantalones,3022,1927,1095,8.7,6
143,2023-03-19,Argentina,Buenos Aires,-34.6037,-58.3816,Muebles,Camas,1715,1201,514,8.3,8
144,2023-05-25,South Africa,Cape Town,-33.9249,18.4241,Ropa,Pantalones,321,226,95,7.5,10
145,2023-01-12,Germany,Munich,48.1351,11.582,Servicios,Soporte,1550,1013,537,5.9,8
146,2023-03-09,United States,Los Angeles,34.0522,-118.2437,Software,Antivirus,2507,1383,1124,7.1,7
147,2023-07-01,Australia,Melbourne,-37.8136,144.9631,Servicios,Instalacion,1205,761,444,6.7,2
148,2023-08-04,Germany,Munich,48.1351,11.582,Ropa,Chaquetas,646,296,350,5.6,8
149,2023-04-30,Canada,Toronto,43.651,-79.347,Muebles,Sillas,3675,1703,1972,7.9,12
150,2023-09-21,Canada,Toronto,43.651,-79.347,Electronica,Laptops,3259,2428,831,8.3,1
151,2023-12-16,Japan,Tokyo,35.6762,139.6503,Ropa,Zapatos,1462,1103,359,5.6,11
152,2023-06-04,Argentina,Buenos Aires,-34.6037,-58.3816,Muebles,Sofas,2786,1202,1584,9.6,4
153,2023-08-07,Spain,Madrid,40.4168,-3.7038,Ropa,Camisas,3955,1917,2038,8.5,13
154,2023-02-26,South Africa,Cape Town,-33.9249,18.4241,Servicios,Consultoria,1560,856,704,5.9,10
155,2023-08-18,Argentina,Buenos Aires,-34.6037,-58.3816,Electronica,Telefonos,2599,2032,567,9.5,8
156,2023-05-22,United States,Chicago,41.8781,-87.6298,Servicios,Soporte,1341,971,370,8.3,1
157,2023-11-17,Canada,Vancouver,49.2827,-123.1207,Software,Antivirus,581,395,186,8.4,1
158,2023-10-07,Spain,Barcelona,41.3851,2.1734,Electronica,Monitores,1079,790,289,9.0,8
159,2023-12-23,Spain,Madrid,40.4168,-3.7038,Muebles,Sillas,831,586,245,9.8,4
160,2023-08-23,Argentina,Buenos Aires,-34.6037,-58.3816,Electronica,Telefonos,2457,1225,1232,9.5,1
161,2023-11-20,Italy,Rome,41.9028,12.4964,Servicios,Garantia,1503,695,808,9.7,2
162,2023-12-27,United States,Chicago,41.8781,-87.6298,Ropa,Chaquetas,3184,1450,1734,5.6,12
163,2023-03-27,United Kingdom,London,51.5074,-0.1278,Ropa,Chaquetas,1156,727,429,5.5,14
164,2023-06-24,India,Mumbai,19.076,72.8777,Software,Ofimatica,2606,1978,628,6.0,14
165,2023-08-06,Canada,Vancouver,49.2827,-123.1207,Ropa,Zapatos,1417,710,707,8.9,5
166,2023-06-27,South Africa,Cape Town,-33.9249,18.4241,Muebles,Sillas,1706,736,970,6.7,12
167,2023-03-10,Australia,Sydney,-33.8688,151.2093,Software,Antivirus,310,228,82,8.9,10
168,2023-03-22,Japan,Osaka,34.6937,135.5023,Servicios,Consultoria,2943,2217,726,5.2,14
169,2023-02-21,Japan,Tokyo,35.6762,139.6503,Electronica,Laptops,1924,1306,618,6.4,7
170,2023-11-11,India,Mumbai,19.076,72.8777,Ropa,Camisas,2268,1226,1042,8.7,12
171,2023-03-20,South Africa,Cape Town,-33.9249,18.4241,Electronica,Tablets,3777,2445,1332,6.8,8
172,2023-09-01,Spain,Madrid,40.4168,-3.7038,Muebles,Sofas,2325,1753,572,8.6,6
173,2023-08-10,United States,Chicago,41.8781,-87.6298,Ropa,Zapatos,2357,1028,1329,5.3,3
174,2023-05-20,Australia,Melbourne,-37.8136,144.9631,Electronica,Laptops,419,292,127,5.1,3
175,2023-08-14,United States,New York,40.7128,-74.006,Servicios,Soporte,2707,2013,694,8.1,9
176,2023-01-01,Australia,Sydney,-33.8688,151.2093,Ropa,Chaquetas,2137,1146,991,8.4,8
177,2023-06-12,Mexico,Mexico City,19.4326,-99.1332,Electronica,Monitores,3710,1865,1845,6.5,8
178,2023-03-07,Mexico,Mexico City,19.4326,-99.1332,Muebles,Mesas,336,267,69,5.0,4
179,2023-07-30,Spain,Madrid,40.4168,-3.7038,Ropa,Zapatos,448,333,115,9.2,10
180,2023-04-28,Spain,Barcelona,41.3851,2.1734,Ropa,Zapatos,3856,1690,2166,5.0,4
181,2023-05-12,Canada,Vancouver,49.2827,-123.1207,Ropa,Camisas,1207,633,574,9.5,12
182,2023-10-19,Germany,Berlin,52.52,13.405,Electronica,Laptops,2127,1308,819,6.7,10
183,2023-11-15,United States,Los Angeles,34.0522,-118.2437,Servicios,Instalacion,1369,609,760,5.4,14
184,2023-10-30,Australia,Melbourne,-37.8136,144.9631,Servicios,Consultoria,2443,1874,569,9.6,7
185,2023-05-18,Mexico,Mexico City,19.4326,-99.1332,Ropa,Camisas,2388,1879,509,5.9,1
186,2023-10-27,France,Paris,48.8566,2.3522,Software,Ofimatica,3717,1883,1834,9.7,9
187,2023-09-28,Spain,Madrid,40.4168,-3.7038,Muebles,Sofas,140,58,82,8.6,3
188,2023-05-20,Japan,Tokyo,35.6762,139.6503,Servicios,Soporte,2087,878,1209,5.1,8
189,2023-09-02,Spain,Barcelona,41.3851,2.1734,Software,Antivirus,358,212,146,8.9,8
190,2023-07-17,Australia,Melbourne,-37.8136,144.9631,Software,Ofimatica,3808,2707,1101,5.2,10
191,2023-12-06,Japan,Tokyo,35.6762,139.6503,Software,Diseno,1438,602,836,7.5,5
192,2023-11-25,Canada,Vancouver,49.2827,-123.1207,Electronica,Tablets,1989,886,1103,8.6,6
193,2023-09-11,Spain,Barcelona,41.3851,2.1734,Servicios,Instalacion,1610,689,921,8.2,14
194,2023-12-21,Germany,Munich,48.1351,11.582,Software,Ofimatica,726,519,207,7.4,11
195,2023-04-27,United Kingdom,London,51.5074,-0.1278,Software,Ofimatica,1253,571,682,5.8,13
196,2023-06-20,Japan,Tokyo,35.6762,139.6503,Muebles,Mesas,2318,1399,919,7.8,12
197,2023-11-01,United States,Los Angeles,34.0522,-118.2437,Muebles,Mesas,548,244,304,5.1,11
198,2023-07-13,Germany,Munich,48.1351,11.582,Servicios,Instalacion,2023,826,1197,7.9,13
199,2023-03-28,Spain,Madrid,40.4168,-3.7038,Electronica,Laptops,2443,1358,1085,9.4,11
200,2023-11-22,Spain,Madrid,40.4168,-3.7038,Muebles,Camas,1828,1152,676,9.9,11
201,2023-12-08,South Africa,Cape Town,-33.9249,18.4241,Electronica,Monitores,2851,2194,657,5.8,4
202,2023-03-03,United States,Los Angeles,34.0522,-118.2437,Servicios,Consultoria,1614,741,873,5.3,10
203,2023-10-07,Canada,Toronto,43.651,-79.347,Servicios,Soporte,976,723,253,7.8,10
204,2023-08-11,Brazil,Rio de Janeiro,-22.9068,-43.1729,Software,Ofimatica,3878,2945,933,7.4,2
205,2023-09-14,Italy,Rome,41.9028,12.4964,Ropa,Chaquetas,3708,2352,1356,6.2,12
206,2023-03-11,Canada,Toronto,43.651,-79.347,Muebles,Camas,3489,1693,1796,7.9,2
207,2023-01-12,France,Paris,48.8566,2.3522,Muebles,Sofas,2026,977,1049,8.5,9
208,2023-11-29,Canada,Vancouver,49.2827,-123.1207,Ropa,Zapatos,3967,3089,878,8.8,11
209,2023-01-06,France,Paris,48.8566,2.3522,Servicios,Instalacion,1132,749,383,9.6,11
210,2023-11-23,United Kingdom,London,51.5074,-0.1278,Muebles,Sillas,1243,778,465,7.3,12
211,2023-02-14,Canada,Toronto,43.651,-79.347,Servicios,Instalacion,2605,1459,1146,7.7,8
212,2023-07-06,United States,New York,40.7128,-74.006,Muebles,Camas,1736,767,969,6.8,3
213,2023-10-26,Mexico,Mexico City,19.4326,-99.1332,Servicios,Soporte,3277,2059,1218,9.3,6
214,2023-01-29,Brazil,Rio de Janeiro,-22.9068,-43.1729,Servicios,Soporte,2776,1585,1191,7.8,1
215,2023-02-28,Spain,Barcelona,41.3851,2.1734,Software,Juegos,883,490,393,7.6,6
216,2023-07-04,India,Delhi,28.7041,77.1025,Servicios,Soporte,4078,2703,1375,7.5,3
217,2023-07-09,Australia,Melbourne,-37.8136,144.9631,Software,Juegos,2154,1346,808,6.0,12
218,2023-04-18,Canada,Toronto,43.651,-79.347,Software,Juegos,348,184,164,9.6,1
219,2023-12-15,Italy,Rome,41.9028,12.4964,Muebles,Sofas,2213,887,1326,7.1,7
220,2023-10-06,India,Mumbai,19.076,72.8777,Muebles,Camas,127,99,28,6.5,11
221,2023-09-14,Canada,Toronto,43.651,-79.347,Software,Juegos,1049,726,323,9.1,10
222,2023-03-13,Germany,Munich,48.1351,11.582,Ropa,Chaquetas,130,101,29,8.7,12
223,2023-08-05,United States,Los Angeles,34.0522,-118.2437,Servicios,Garantia,4023,2862,1161,5.4,1
224,2023-04-03,United Kingdom,London,51.5074,-0.1278,Servicios,Instalacion,2536,1044,1492,6.8,11
225,2023-10-10,Japan,Tokyo,35.6762,139.6503,Electronica,Laptops,1037,765,272,5.2,7
226,2023-05-14,India,Delhi,28.7041,77.1025,Electronica,Laptops,2195,916,1279,5.8,2
227,2023-09-23,Mexico,Mexico City,19.4326,-99.1332,Servicios,Soporte,3570,1552,2018,8.6,9
228,2023-10-03,France,Paris,48.8566,2.3522,Electronica,Laptops,3754,1613,2141,5.0,2
229,2023-01-26,Australia,Melbourne,-37.8136,144.9631,Ropa,Chaquetas,2964,1685,1279,8.2,4
230,2023-10-25,Australia,Melbourne,-37.8136,144.9631,Software,Juegos,475,218,257,8.0,4
231,2023-11-25,United States,New York,40.7128,-74.006,Ropa,Camisas,3945,2655,1290,9.0,10
232,2023-05-27,United States,Chicago,41.8781,-87.6298,Software,Diseno,643,452,191,6.4,1
233,2023-03-23,United States,Los Angeles,34.0522,-118.2437,Servicios,Consultoria,2875,1715,1160,6.7,9
234,2023-05-15,United Kingdom,London,51.5074,-0.1278,Software,Diseno,2375,1720,655,9.7,14
235,2023-10-16,United States,New York,40.7128,-74.006,Servicios,Soporte,1119,582,537,8.5,7
236,2023-01-06,United States,Chicago,41.8781,-87.6298,Software,Juegos,3581,2796,785,8.3,12
237,2023-06-17,Japan,Tokyo,35.6762,139.6503,Electronica,Monitores,3263,1422,1841,7.6,9
238,2023-05-08,Japan,Tokyo,35.6762,139.6503,Electronica,Monitores,3922,2699,1223,6.2,12
239,2023-05-16,United Kingdom,London,51.5074,-0.1278,Electronica,Monitores,2200,1410,790,9.7,10
240,2023-04-05,Spain,Madrid,40.4168,-3.7038,Software,Ofimatica,1312,954,358,9.8,10
241,2023-03-06,Brazil,Sao Paulo,-23.5505,-46.6333,Software,Juegos,3557,1527,2030,6.5,10
242,2023-11-04,United States,New York,40.7128,-74.006,Servicios,Consultoria,2752,1636,1116,8.5,6
243,2023-04-14,Brazil,Sao Paulo,-23.5505,-46.6333,Electronica,Laptops,1097,667,430,7.5,2
244,2023-08-05,Spain,Barcelona,41.3851,2.1734,Servicios,Garantia,3145,1848,1297,5.8,3
245,2023-08-02,Mexico,Mexico City,19.4326,-99.1332,Ropa,Camisas,1376,594,782,8.4,11
246,2023-01-01,United States,Chicago,41.8781,-87.6298,Ropa,Pantalones,851,513,338,7.5,9
247,2023-02-14,Canada,Vancouver,49.2827,-123.1207,Muebles,Sofas,671,515,156,9.8,5
248,2023-01-21,Canada,Toronto,43.651,-79.347,Muebles,Camas,439,248,191,8.6,7
249,2023-06-11,France,Paris,48.8566,2.3522,Muebles,Sillas,3949,2171,1778,9.2,6
250,2023-09-09,Spain,Barcelona,41.3851,2.1734,Muebles,Camas,1859,1308,551,6.4,6
251,2023-07-29,Japan,Osaka,34.6937,135.5023,Muebles,Camas,1625,982,643,8.7,3
252,2023-08-23,Italy,Rome,41.9028,12.4964,Muebles,Mesas,2055,913,1142,5.3,14
253,2023-05-09,France,Paris,48.8566,2.3522,Ropa,Chaquetas,1171,700,471,5.6,8
254,2023-12-20,Mexico,Mexico City,19.4326,-99.1332,Muebles,Camas,1760,1171,589,6.6,7
255,2023-06-27,India,Mumbai,19.076,72.8777,Software,Ofimatica,2321,1082,1239,8.4,8
256,2023-04-18,Australia,Sydney,-33.8688,151.2093,Electronica,Monitores,1344,893,451,6.5,2
257,2023-11-29,India,Mumbai,19.076,72.8777,Electronica,Tablets,1416,997,419,7.6,12
258,2023-04-04,Spain,Barcelona,41.3851,2.1734,Electronica,Tablets,1820,1111,709,5.6,6
259,2023-01-24,Italy,Rome,41.9028,12.4964,Ropa,Chaquetas,4083,2191,1892,5.1,8
260,2023-01-06,Japan,Tokyo,35.6762,139.6503,Muebles,Camas,2840,1271,1569,8.7,6
261,2023-03-19,Mexico,Mexico City,19.4326,-99.1332,Software,Ofimatica,3337,2034,1303,8.4,8
262,2023-10-12,United States,New York,40.7128,-74.006,Muebles,Sillas,1599,1064,535,5.1,11
263,2023-05-03,Australia,Melbourne,-37.8136,144.9631,Servicios,Consultoria,3330,1538,1792,5.5,10
